 (RH), (T),Rainfall,(SO2),(pH), (Cl−),corrosionindex
70,11.58,61.91,0.051,5.11,0.872,R4
70,11.58,61.91,0.051,5.5,0.872,R4
70,11.58,61.91,0.051,6,0.872,R4
70,11.58,61.91,0.051,6.5,0.872,R1
70,11.58,61.91,0.051,6.7,0.872,R1
70,11.58,61.91,0.051,6.8,0.872,R1
70,11.58,61.91,0.051,7,0.872,R1
55,11.58,61.91,0.051,6.9,0.872,R1
60,11.58,61.91,0.051,6.9,0.872,R1
70,11.58,61.91,0.051,6.9,0.872,R2
80,11.58,61.91,0.051,6.9,0.872,R3
85,11.58,61.91,0.051,6.9,0.872,R3
70,11.58,90,0.2,6.9,0.872,R3
70,11.58,100,0.2,6.9,0.872,R3
70,11.58,200,0.2,6.9,0.872,R3
70,11.58,300,0.2,6.9,0.872,R3
70,11.58,400,0.2,6.9,0.872,R2
70,11.58,500,0.2,6.9,0.872,R2
56,12,100,0.2,6.9,0.872,R1
56,14,100,0.2,6.9,0.872,R2
56,17,100,0.2,6.9,0.872,R4
56,22,100,0.2,6.9,0.872,R3
56,24,100,0.2,6.9,0.872,R3
56,26,100,0.2,6.9,0.872,R3
70,11.58,61.91,0.2,6.9,1,R1
70,11.58,61.91,0.02,6.9,1,R1
70,11.58,61.91,0.05,6.9,1,R2
70,11.58,61.91,0.1,6.9,1,R3
70,11.58,61.91,0.2,6.9,1,R3
70,11.58,61.91,0.3,6.9,1,R4
70,11.58,61.91,0.25,6.9,1,R3
70,11.58,61.91,0.05,5.5,0.1,R1
70,11.58,61.91,0.05,5.5,1,R2
70,11.58,61.91,0.05,5.5,2,R2
